timestamp_iso,fps,frame_ms,mem_used_mb,mem_limit_mb
2025-12-05T09:32:37.518Z,7.68,130.160,42,4096
2025-12-05T09:32:38.446Z,4.17,239.840,42,4096
2025-12-05T09:32:39.373Z,7.69,130.060,42,4096
2025-12-05T09:32:40.293Z,5.45,183.340,42,4096
2025-12-05T09:32:40.949Z,5.31,188.340,42,4096
2025-12-05T09:32:41.573Z,8.18,122.300,42,4096
2025-12-05T09:32:42.494Z,7.70,129.900,42,4096
2025-12-05T09:32:43.407Z,5.47,182.820,42,4096
2025-12-05T09:32:44.048Z,5.38,185.760,42,4096
2025-12-05T09:32:44.690Z,8.04,124.320,42,4096
2025-12-05T09:32:45.903Z,5.40,185.240,42,4096
2025-12-05T09:32:46.538Z,5.40,185.160,42,4096
2025-12-05T09:32:47.462Z,7.69,130.060,42,4096
