timestamp_iso,fps,frame_ms,mem_used_mb,mem_limit_mb
2025-12-05T08:57:59.544Z,59.97,16.675,20,4096
2025-12-05T08:57:59.878Z,59.97,16.675,20,4096
2025-12-05T08:58:00.211Z,59.95,16.680,20,4096
2025-12-05T08:58:00.545Z,59.99,16.670,20,4096
2025-12-05T08:58:00.878Z,59.95,16.680,20,4096
2025-12-05T08:58:01.212Z,59.99,16.670,20,4096
2025-12-05T08:58:01.545Z,59.99,16.670,20,4096
2025-12-05T08:58:01.879Z,59.95,16.680,20,4096
2025-12-05T08:58:02.212Z,59.97,16.675,20,4096
2025-12-05T08:58:02.545Z,59.97,16.675,20,4096
2025-12-05T08:58:02.879Z,59.97,16.675,20,4096
2025-12-05T08:58:03.212Z,59.97,16.675,20,4096
2025-12-05T08:58:03.546Z,59.99,16.670,20,4096
2025-12-05T08:58:03.879Z,59.97,16.675,20,4096
2025-12-05T08:58:04.213Z,59.95,16.680,21,4096
2025-12-05T08:58:04.546Z,60.02,16.660,21,4096
2025-12-05T08:58:04.880Z,59.95,16.680,20,4096
2025-12-05T08:58:05.214Z,59.95,16.680,20,4096
2025-12-05T08:58:05.657Z,54.54,18.335,20,4096
2025-12-05T08:58:06.080Z,39.96,25.025,20,4096
2025-12-05T08:58:06.414Z,59.97,16.675,20,4096
2025-12-05T08:58:06.747Z,60.01,16.665,20,4096
2025-12-05T08:58:07.081Z,59.97,16.675,20,4096
2025-12-05T08:58:07.414Z,59.99,16.670,20,4096
2025-12-05T08:58:07.748Z,59.97,16.675,20,4096
2025-12-05T08:58:08.081Z,59.95,16.680,20,4096
2025-12-05T08:58:08.415Z,59.99,16.670,20,4096
2025-12-05T08:58:08.748Z,59.97,16.675,20,4096
2025-12-05T08:58:09.082Z,59.97,16.675,20,4096
