timestamp_iso,fps,frame_ms,mem_used_mb,mem_limit_mb
2025-12-05T09:33:20.951Z,5.38,185.960,50,4096
2025-12-05T09:33:21.576Z,5.30,188.580,50,4096
2025-12-05T09:33:22.502Z,7.73,129.300,50,4096
2025-12-05T09:33:23.423Z,5.44,183.700,50,4096
2025-12-05T09:33:24.350Z,5.39,185.480,50,4096
2025-12-05T09:33:25.292Z,5.28,189.340,50,4096
2025-12-05T09:33:26.251Z,5.25,190.540,50,4096
2025-12-05T09:33:27.171Z,5.45,183.620,50,4096
2025-12-05T09:33:28.373Z,3.34,299.460,51,4096
2025-12-05T09:33:29.313Z,7.67,130.380,50,4096
2025-12-05T09:33:30.254Z,4.07,245.980,50,4096
2025-12-05T09:33:30.891Z,7.98,125.260,50,4096
